translate;full_text;label
Yang perlu dipahami orang adalah bahwa mengambil sikap kuat terhadap imigrasi ilegal tidak berarti Anda anti-imigrasi. Banyak orang datang ke sini secara legal. Mereka mengikuti aturan. Mereka tidak menghormati negara itu bahkan sebelum mereka masuk.;What people need to understand is that taking a strong stance against ILLEGAL immigration doesnï¿½t mean youï¿½re anti-immigration. Many people come here legally. They follow the rules. They donï¿½t disrespect the country before theyï¿½ve even entered.;positif
Apa yang dilakukan pemerintahan yang sakit ini adalah kriminal. #Impeachbidennow Terima kasih Elon karena telah meningkatkan kesadaran tentang kejahatan ini terhadap orang -orang Amerika.;What this sick administration is doing is criminal. #ImpeachBidenNOW  Thank you Elon for raising awareness on this crime against the American people.;positif
https://t.co/znskvcytuy;https://t.co/zNSKVCyTUY;tidak relevan
Admin Biden dan Kongres terlantar dalam tugas mereka. Perbatasan adalah keadaan darurat keamanan nasional yang dilaporkan oleh warga negara. Seberapa gila ini?!? Militer perlu masuk pada titik ini. Misi DOD: Misi kami adalah untuk menyediakan pasukan militer yang diperlukan untuk ... https://t.co/kypnrufj9x;The Biden Admin and Congress are derelict in their duties. The border is a national security emergency being reported by a private citizen. How insane is this?!?  The military needs to step in at this point. DoD MISSION: Our mission is to provide the military forces needed toï¿½ https://t.co/kypNRUFJ9x;negatif
"Tuhan memberkati Anda @elonmusk ???? Kakek saya mengatakan berkali -kali pada proklamasi saya tentang harapan saya atau beloef dalam orang dan keadaan, ï¿½Saya sangat tahu. Lihat saja."" Orang -orang yang kuat perlu memegang terang kebaikan dan kebenaran. Ini adalah hal yang hebat yang dilakukan @ElonMusk. Saya masihï¿½";God bless you @elonmusk ????  My Granddad said many times to my proclamations about my hopes or beloefs in peoples and circumstances, ï¿½I so jot know, yet. We will see.ï¿½   Powerful people need to hold the light of good and truth. This is a great thing @elonmusk is doing.   I stillï¿½;positif
Mayorkas ... bukan pria yang baik https://t.co/45dj2rsugi;Mayorkas... not a nice guy https://t.co/45DJ2rsUGI;tidak relevan
????;????;tidak relevan
Orang -orang Amerika menghargai fakta. Terima kasih Elon!;The American people appreciate the facts.  Thanks Elon!;positif
https://t.co/hj1hxnwzug;https://t.co/hj1HxNwZUG;tidak relevan
Bukankah itu simbolis bahwa kota itu adalah Eagle Pass? Simbol Amerika, orang -orang portal benar -benar melewati untuk masuk. Aneh.;Isnï¿½t it symbolic that the town is Eagle Pass?  Americaï¿½s symbol, the portal people are literally passing through to enter.  Weird.;negatif
Terima kasih telah peduli ketika jelas tidak ada orang di MSM yang akan menutupi ini secara akurat.;Thanks for caring when clearly no one in the MSM will cover this accurately.;positif
Di dunia yang waras, presiden akan berusaha menyelesaikan situasi perbatasan dan CEO otomotif akan berbicara dengan pekerja yang mogok. Bagaimana mungkin kita berakhir dengan peran terbalik?;In a sane world the President would be trying to solve the border situation and the automotive CEO would be talking to striking workers.   How is it that we ended up with the roles flipped?;negatif
Tawaran Elon untuk menjadi presiden masa depan. Saya berharap semuanya terbayar. ??;Elonï¿½s bids for becoming the future President. I hope everything pays off. ??;positif
Bagus sekali;Well done;positif
Bro di perbatasan tetapi aplikasi x masih rugging separuh waktu;Bro at the border but X app still rugging half the time;positif
https://t.co/w5zawcz1kt;https://t.co/W5zawcZ1Kt;tidak relevan
Love the Long Form Video & Amp Elon melakukan beberapa pelaporan nyata. Luar biasa. Memberi saya harapan. Berita itu tidak lagi dimonopoli oleh wartawan Legacy Media & AMP yang mencoba naik hierarki. Mengingatkan saya pada kutipan Taleb tentang bagaimana Anda tidak pernah bisa mempercayai siapa pun dengan gaji atau dalam hierarki.;Love the long form video &amp  Elon doing some real reporting. Amazing. Gives me hope. The news is no longer monopolized by legacy media &amp  reporters trying to ascend the hierarchy.  Reminds me of Taleb quotes about how you can never trust anyone on a salary or within a hierarchy.;positif
Ini menunjukkan keadaan MSM dan lanskap politik saat ini di mana mengungkap masalah -masalah penting seperti itu diserahkan kepada miliarder teknologi.;It shows the current state of the MSM and political landscape where exposing such important issues is being left to a tech billionaire.;netral
@Sabinehazanmd Elon meluangkan waktu untuk menjadi jurnalis yang aneh dengan sepatu bot di tanah, pujian bro, dan terima kasih!;@SabinehazanMD Elon makes time to even be a freaking journalist with boots on the ground, kudos bro, and thank you!;positif
Melihatnya. Video yang bagus;Saw it. Good video;positif
@Cernovich Masalahnya dengan ini adalah Anda mendengarkan politisi lokal dan jika mereka tidak marah seperti yang pertama yang berbicara dan topi koboi maka mereka semua mencoba terdengar sangat masuk akal dan tidak bisakah kita semua rukun. Ini adalah manajer tingkat rendah. Memang ada banyak bagian yang bergerakï¿½;@Cernovich The problem with this is that you listen to the local politicians and if they're not angry like the first one who spoke and the cowboy hat then they all try to sound very reasonable and can't we all get along. These are low level managers. Granted there are a lot of moving partsï¿½;negatif
Bagaimana Anda semua di bawah ini tidak diganggu dengan ini? @Potus @housedemocrat @housegop @senatedems @senategop @kjp46 @presssec;How can all of you below not be bothered by this? @POTUS @HouseDemocrats  @HouseGOP @SenateDems  @SenateGOP  @KJP46  @PressSec;netral
Bagus untukmu Elon untuk membawa barang -barang ke garis depan yang perlu diselesaikan ???????????? menggunakan suara Anda untuk kebaikan yang lebih besar dari dunia ini ????;Good on you Elon for bringing things to the forefront that need to be solved ???????????? Using your voice for the greater good of this world ????;positif
Melakukan apa yang seharusnya dilakukan oleh jurnalis dan politisi;Doing what Journalists and politicians should be doing  GOATED;positif
Terima kasih!!! ?? ? ?;Thank you!!! ?? ??;positif
Tampak menyedihkan, begitu banyak untuk ditingkatkan, semoga video ini akan membuka mata bagi begitu banyak orang yang percaya tidak ada masalah di perbatasan dan semoga sekarang mereka akan melobi politisi yang menolak melakukan apa pun!;Looks depressing, so much to be improved upon, hopefully this video will open the eyes to so many who believe there isnï¿½t a problem at the border and hopefully now theyï¿½ll lobby politicians who have refused to do anything!;positif
Elon yang baik! Tunjukkan kebenaran kepada orang -orang!;Good Elon! Show the truth to the people!;positif
Elon akan memulai perusahaan baru yang berspesialisasi dalam dinding perbatasan yang berbiaya rendah dan efisiensi tinggi. Saya bisa melihatnya sekarang.;Elon's about to start a new company that specializes in  low cost, high efficiency border walls.   I can see it now.;positif
https://t.co/8wtox3rjyq;https://t.co/8WTOx3rjYQ;tidak relevan
"Cara terbaik untuk memahami realitas suatu situasi adalah dengan melihatnya dengan mata sendiri. "" - Nelson Mandela""";"The best way to understand the reality of a situation is to see it with your own eyes."" - Nelson Mandela""";netral
"Ketika Elon melakukan ""pemeriksaan fakta"", dia tidak main -main .??";When Elon does a ï¿½fact checkï¿½ he doesnï¿½t mess around.??;positif
